Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
PS,B4 LM,CHURCHMAN BIBLE,3045.0,32.0,0.817,0.486,11.281,4.742,2,0.929
PS,B4 LM,CHURCHMAN BIBLE,3045.5,31.516,0.886,-0.126,11.698,4.469,2,0.857
PS,B4 LM,CHURCHMAN BIBLE,3046.0,38.531,0.936,-0.711,11.453,4.668,2,0.786
PS,B4 LM,CHURCHMAN BIBLE,3046.5,50.094,0.959,-0.849,10.175,5.109,2,0.714
PS,B4 LM,CHURCHMAN BIBLE,3047.0,58.25,0.963,-1.205,9.017,5.641,2,0.643
PS,B4 LM,CHURCHMAN BIBLE,3047.5,62.125,0.956,-0.291,7.078,5.082,2,0.571
WS,B4 LM,CHURCHMAN BIBLE,3048.0,59.281,0.923,0.877,5.275,4.617,2,0.5
WS,B4 LM,CHURCHMAN BIBLE,3048.5,59.5,0.871,2.296,3.612,4.125,2,0.429
WS,B4 LM,CHURCHMAN BIBLE,3049.0,51.375,0.811,2.231,3.775,4.574,2,0.357
WS,B4 LM,CHURCHMAN BIBLE,3049.5,46.906,0.752,2.612,4.273,4.285,2,0.286
WS,B4 LM,CHURCHMAN BIBLE,3050.0,43.938,0.685,3.529,7.36,3.852,2,0.214
SiSh,B4 LM,CHURCHMAN BIBLE,3050.5,49.906,0.64,5.685,11.112,3.678,2,0.143
WS,B4 LM,CHURCHMAN BIBLE,3051.0,53.406,0.601,6.364,14.534,3.35,2,0.071
PS,B5 LM,CHURCHMAN BIBLE,3054.0,33.906,0.641,1.365,4.739,4.879,1,0.167
PS,B5 LM,CHURCHMAN BIBLE,3054.5,31.109,0.671,1.659,6.056,4.789,2,1.0
PS,B5 LM,CHURCHMAN BIBLE,3055.0,33.719,0.695,4.629,8.115,3.891,2,0.983
PS,B5 LM,CHURCHMAN BIBLE,3055.5,45.875,0.69,5.923,10.777,3.691,2,0.967
D,B5 LM,CHURCHMAN BIBLE,3056.0,57.125,0.635,6.613,12.04,3.631,2,0.95
D,B5 LM,CHURCHMAN BIBLE,3056.5,66.813,0.566,6.039,13.297,3.742,2,0.933
D,B5 LM,CHURCHMAN BIBLE,3057.0,76.938,0.509,6.381,14.322,3.719,2,0.917
D,B5 LM,CHURCHMAN BIBLE,3057.5,93.313,0.466,6.061,15.716,3.531,2,0.9
D,B5 LM,CHURCHMAN BIBLE,3058.0,110.313,0.405,6.206,16.89,3.371,2,0.867
D,B5 LM,CHURCHMAN BIBLE,3058.5,113.875,0.404,5.099,16.239,3.463,2,0.85
D,B5 LM,CHURCHMAN BIBLE,3059.0,118.438,0.408,3.692,14.716,3.607,2,0.833
D,B5 LM,CHURCHMAN BIBLE,3059.5,115.563,0.424,3.276,13.96,4.16,2,0.817
D,B5 LM,CHURCHMAN BIBLE,3060.0,94.75,0.446,2.716,13.739,4.785,2,0.8
PS,B5 LM,CHURCHMAN BIBLE,3060.5,74.563,0.466,2.02,14.874,5.699,2,0.783
PS,B5 LM,CHURCHMAN BIBLE,3061.0,54.875,0.479,2.241,16.118,6.309,2,0.767
BS,B5 LM,CHURCHMAN BIBLE,3061.5,52.281,0.486,3.68,17.218,7.652,2,0.75
BS,B5 LM,CHURCHMAN BIBLE,3062.0,48.125,0.479,4.463,18.34,7.598,2,0.733
BS,B5 LM,CHURCHMAN BIBLE,3062.5,49.406,0.462,4.29,18.512,6.941,2,0.717
BS,B5 LM,CHURCHMAN BIBLE,3063.0,42.688,0.429,3.075,19.239,5.539,2,0.7
BS,B5 LM,CHURCHMAN BIBLE,3063.5,41.438,0.387,1.846,19.15,5.027,2,0.683
BS,B5 LM,CHURCHMAN BIBLE,3064.0,37.219,0.348,0.672,19.006,5.144,2,0.667
BS,B5 LM,CHURCHMAN BIBLE,3064.5,38.656,0.314,0.292,17.824,5.633,2,0.65
BS,B5 LM,CHURCHMAN BIBLE,3065.0,43.0,0.283,0.828,17.336,6.231,2,0.633
BS,B5 LM,CHURCHMAN BIBLE,3065.5,42.531,0.257,1.594,17.302,5.898,2,0.617
BS,B5 LM,CHURCHMAN BIBLE,3066.0,41.188,0.234,1.921,17.512,5.754,2,0.6
BS,B5 LM,CHURCHMAN BIBLE,3066.5,38.25,0.211,1.498,16.861,5.609,2,0.583
BS,B5 LM,CHURCHMAN BIBLE,3067.0,39.219,0.184,1.629,15.851,6.711,2,0.567
BS,B5 LM,CHURCHMAN BIBLE,3067.5,40.938,0.167,2.706,15.214,8.094,2,0.55
BS,B5 LM,CHURCHMAN BIBLE,3068.0,38.0,0.158,3.576,15.857,6.902,2,0.533
BS,B5 LM,CHURCHMAN BIBLE,3068.5,37.938,0.148,3.308,16.273,6.742,2,0.517
BS,B5 LM,CHURCHMAN BIBLE,3069.0,35.156,0.133,3.224,16.99,6.18,2,0.5
BS,B5 LM,CHURCHMAN BIBLE,3069.5,36.094,0.118,2.679,17.585,6.422,2,0.483
BS,B5 LM,CHURCHMAN BIBLE,3070.0,37.063,0.106,2.082,19.158,5.484,2,0.467
BS,B5 LM,CHURCHMAN BIBLE,3070.5,41.0,0.1,1.348,19.453,5.398,2,0.45
BS,B5 LM,CHURCHMAN BIBLE,3071.0,42.031,0.106,1.723,18.688,5.297,2,0.433
BS,B5 LM,CHURCHMAN BIBLE,3071.5,43.344,0.123,2.001,18.165,5.426,2,0.417
BS,B5 LM,CHURCHMAN BIBLE,3072.0,40.906,0.151,1.666,17.719,4.93,2,0.4
BS,B5 LM,CHURCHMAN BIBLE,3072.5,40.531,0.184,1.033,17.424,4.894,2,0.383
BS,B5 LM,CHURCHMAN BIBLE,3073.0,39.5,0.227,0.945,16.536,5.047,2,0.367
BS,B5 LM,CHURCHMAN BIBLE,3073.5,42.281,0.29,0.659,16.138,5.391,2,0.35
BS,B5 LM,CHURCHMAN BIBLE,3074.0,46.063,0.366,0.74,15.764,5.652,2,0.333
BS,B5 LM,CHURCHMAN BIBLE,3074.5,47.063,0.446,0.122,15.601,5.508,2,0.317
BS,B5 LM,CHURCHMAN BIBLE,3075.0,45.719,0.516,0.398,16.106,5.352,2,0.3
BS,B5 LM,CHURCHMAN BIBLE,3075.5,42.406,0.585,1.393,16.527,4.926,2,0.283
BS,B5 LM,CHURCHMAN BIBLE,3076.0,41.594,0.643,2.044,16.266,4.875,2,0.267
BS,B5 LM,CHURCHMAN BIBLE,3076.5,44.531,0.68,1.426,15.42,5.031,2,0.25
BS,B5 LM,CHURCHMAN BIBLE,3077.0,49.25,0.707,0.181,13.491,6.062,2,0.233
BS,B5 LM,CHURCHMAN BIBLE,3077.5,59.594,0.735,-0.061,11.536,6.227,2,0.217
BS,B5 LM,CHURCHMAN BIBLE,3078.0,74.0,0.768,0.243,9.67,5.672,2,0.2
BS,B5 LM,CHURCHMAN BIBLE,3078.5,127.5,0.802,1.28,8.876,4.406,2,0.183
BS,B5 LM,CHURCHMAN BIBLE,3079.0,185.25,0.83,3.48,7.995,3.912,2,0.167
BS,B5 LM,CHURCHMAN BIBLE,3079.5,222.5,0.852,4.614,6.959,3.557,2,0.15
BS,B5 LM,CHURCHMAN BIBLE,3080.0,74.0,0.768,0.243,9.67,5.672,2,0.2
D,B5 LM,CHURCHMAN BIBLE,3080.5,127.5,0.802,1.28,8.876,4.406,2,0.183
D,B5 LM,CHURCHMAN BIBLE,3081.0,185.25,0.83,3.48,7.995,3.912,2,0.167
D,B5 LM,CHURCHMAN BIBLE,3081.5,222.5,0.852,4.614,6.959,3.557,2,0.15
D,B5 LM,CHURCHMAN BIBLE,3082.0,202.625,0.867,4.225,6.225,3.69,2,0.133
D,B5 LM,CHURCHMAN BIBLE,3082.5,177.5,0.86,4.381,4.896,3.836,2,0.117
D,B5 LM,CHURCHMAN BIBLE,3083.0,174.75,0.844,5.123,3.813,3.852,2,0.1
D,B5 LM,CHURCHMAN BIBLE,3083.5,184.125,0.812,6.249,3.565,3.828,2,0.083
D,B5 LM,CHURCHMAN BIBLE,3084.0,184.125,0.812,6.249,3.565,3.828,2,0.083
D,B5 LM,CHURCHMAN BIBLE,3084.5,178.625,0.758,7.296,5.302,3.494,2,0.067
D,B5 LM,CHURCHMAN BIBLE,3085.0,154.75,0.701,7.562,7.965,3.551,2,0.05
D,B5 LM,CHURCHMAN BIBLE,3085.5,128.0,0.641,7.388,10.874,3.33,2,0.033
WS,B5 LM,CHURCHMAN BIBLE,3086.0,110.0,0.59,5.83,12.286,3.416,2,0.017
FSiS,C SH,CHURCHMAN BIBLE,3086.5,99.688,0.551,4.46,12.63,3.172,1,1.0
FSiS,C SH,CHURCHMAN BIBLE,3087.0,100.875,0.529,2.024,19.217,2.367,1,0.971
FSiS,C SH,CHURCHMAN BIBLE,3087.5,94.375,0.52,-4.122,34.884,2.059,1,0.941
FSiS,C SH,CHURCHMAN BIBLE,3088.0,86.438,0.512,-6.8,48.597,1.814,1,0.912
FSiS,C SH,CHURCHMAN BIBLE,3088.5,74.563,0.511,-6.868,49.787,1.894,1,0.882
FSiS,C SH,CHURCHMAN BIBLE,3089.0,63.094,0.521,-2.572,40.316,2.52,1,0.824
FSiS,C SH,CHURCHMAN BIBLE,3089.5,60.938,0.526,2.082,38.69,2.504,1,0.794
FSiS,C SH,CHURCHMAN BIBLE,3090.0,62.344,0.535,2.334,38.486,2.443,1,0.765
FSiS,C SH,CHURCHMAN BIBLE,3090.5,63.938,0.542,3.223,38.574,2.393,1,0.735
FSiS,C SH,CHURCHMAN BIBLE,3091.0,65.688,0.547,3.429,37.294,2.66,1,0.706
FSiS,C SH,CHURCHMAN BIBLE,3091.5,67.313,0.551,2.625,34.093,2.795,1,0.676
FSiS,C SH,CHURCHMAN BIBLE,3092.0,74.688,0.546,2.915,31.412,2.838,1,0.647
FSiS,C SH,CHURCHMAN BIBLE,3092.5,75.813,0.554,3.902,29.545,2.674,1,0.588
CSiS,C SH,CHURCHMAN BIBLE,3093.0,70.25,0.567,4.708,28.983,2.395,1,0.559
CSiS,C SH,CHURCHMAN BIBLE,3093.5,68.625,0.596,3.409,32.479,2.186,1,0.529
CSiS,C SH,CHURCHMAN BIBLE,3094.0,69.313,0.626,-0.391,33.936,2.137,1,0.5
CSiS,C SH,CHURCHMAN BIBLE,3094.5,73.813,0.648,-4.575,32.261,2.383,1,0.471
CSiS,C SH,CHURCHMAN BIBLE,3095.0,70.625,0.676,-4.527,24.888,3.113,1,0.441
CSiS,C SH,CHURCHMAN BIBLE,3095.5,62.188,0.729,6.794,11.419,3.693,1,0.382
CSiS,C SH,CHURCHMAN BIBLE,3096.0,68.75,0.763,6.874,10.704,3.854,1,0.353
CSiS,C SH,CHURCHMAN BIBLE,3096.5,70.563,0.785,7.047,9.848,3.883,1,0.324
CSiS,C SH,CHURCHMAN BIBLE,3097.0,68.813,0.78,4.635,10.746,4.039,1,0.294
CSiS,C SH,CHURCHMAN BIBLE,3097.5,63.063,0.758,4.089,10.657,3.918,1,0.265
CSiS,C SH,CHURCHMAN BIBLE,3098.0,70.0,0.725,4.598,13.908,3.297,1,0.235
CSiS,C SH,CHURCHMAN BIBLE,3098.5,77.625,0.647,-2.975,36.031,2.361,1,0.176
CSiS,C SH,CHURCHMAN BIBLE,3099.0,79.125,0.609,-1.253,39.583,2.15,1,0.147
CSiS,C SH,CHURCHMAN BIBLE,3099.5,78.625,0.584,2.481,38.633,2.104,1,0.118
CSiS,C SH,CHURCHMAN BIBLE,3100.0,77.938,0.576,6.147,39.556,1.795,1,0.088
CSiS,C SH,CHURCHMAN BIBLE,3100.5,61.438,0.65,-0.749,53.678,1.524,1,0.029
PS,C LM,CHURCHMAN BIBLE,3101.0,50.313,0.71,-10.074,47.721,1.605,2,1.0
PS,C LM,CHURCHMAN BIBLE,3101.5,31.828,0.765,-21.832,35.162,2.533,2,0.992
PS,C LM,CHURCHMAN BIBLE,3102.0,22.641,0.839,-15.014,19.653,4.492,2,0.984
PS,C LM,CHURCHMAN BIBLE,3102.5,15.867,0.937,-5.427,9.48,4.785,2,0.976
PS,C LM,CHURCHMAN BIBLE,3103.0,14.469,1.058,-1.957,4.838,5.008,2,0.968
PS,C LM,CHURCHMAN BIBLE,3103.5,14.492,1.195,-1.133,3.037,5.02,2,0.96
BS,C LM,CHURCHMAN BIBLE,3104.0,18.297,1.294,0.227,2.8,4.66,2,0.952
BS,C LM,CHURCHMAN BIBLE,3104.5,26.609,1.273,1.905,3.905,4.656,2,0.944
MS,C LM,CHURCHMAN BIBLE,3105.0,36.469,1.223,3.264,5.72,4.516,2,0.935
PS,C LM,CHURCHMAN BIBLE,3105.5,37.0,1.157,3.449,6.707,4.051,2,0.927
MS,C LM,CHURCHMAN BIBLE,3106.0,33.375,1.069,3.075,6.104,3.863,2,0.919
MS,C LM,CHURCHMAN BIBLE,3106.5,28.922,0.994,2.703,5.159,3.945,2,0.911
PS,C LM,CHURCHMAN BIBLE,3107.0,27.438,0.974,1.928,4.957,4.527,2,0.903
WS,C LM,CHURCHMAN BIBLE,3107.5,26.953,0.978,1.977,5.006,4.793,2,0.895
PS,C LM,CHURCHMAN BIBLE,3108.0,30.734,0.991,1.552,5.382,4.738,2,0.887
WS,C LM,CHURCHMAN BIBLE,3108.5,32.219,1.013,1.342,5.055,4.637,2,0.879
WS,C LM,CHURCHMAN BIBLE,3109.0,37.688,1.04,0.681,4.739,4.539,2,0.871
WS,C LM,CHURCHMAN BIBLE,3109.5,35.844,1.044,0.96,3.533,4.832,2,0.863
WS,C LM,CHURCHMAN BIBLE,3110.0,42.156,1.051,1.448,3.337,4.797,2,0.855
WS,C LM,CHURCHMAN BIBLE,3110.5,42.094,1.057,2.736,4.051,4.5,2,0.847
MS,C LM,CHURCHMAN BIBLE,3111.0,49.719,1.06,3.092,5.893,3.83,2,0.839
MS,C LM,CHURCHMAN BIBLE,3111.5,46.219,1.062,3.018,6.503,3.434,2,0.831
WS,C LM,CHURCHMAN BIBLE,3112.0,42.313,1.05,2.245,5.958,3.318,2,0.823
WS,C LM,CHURCHMAN BIBLE,3112.5,36.031,1.028,1.193,5.936,3.393,2,0.815
WS,C LM,CHURCHMAN BIBLE,3113.0,32.594,1.014,0.662,5.978,3.422,2,0.806
WS,C LM,CHURCHMAN BIBLE,3113.5,37.094,1.005,0.377,6.605,3.697,2,0.798
MS,C LM,CHURCHMAN BIBLE,3114.0,40.031,1.027,0.615,6.27,4.035,2,0.79
MS,C LM,CHURCHMAN BIBLE,3114.5,42.5,1.057,0.672,5.871,4.422,2,0.782
WS,C LM,CHURCHMAN BIBLE,3115.0,39.719,1.087,0.648,4.479,4.203,2,0.774
WS,C LM,CHURCHMAN BIBLE,3115.5,38.844,1.109,1.025,2.686,3.908,2,0.766
WS,C LM,CHURCHMAN BIBLE,3116.0,41.719,1.107,0.659,2.32,3.943,2,0.758
MS,C LM,CHURCHMAN BIBLE,3116.5,44.75,1.085,1.165,2.937,4.02,2,0.75
MS,C LM,CHURCHMAN BIBLE,3117.0,46.469,1.07,1.872,5.013,4.156,2,0.742
MS,C LM,CHURCHMAN BIBLE,3117.5,51.0,1.061,3.76,6.445,3.828,2,0.734
MS,C LM,CHURCHMAN BIBLE,3118.0,55.563,1.052,4.296,7.325,3.805,2,0.726
MS,C LM,CHURCHMAN BIBLE,3118.5,58.313,1.034,3.863,7.465,3.584,2,0.718
MS,C LM,CHURCHMAN BIBLE,3119.0,55.344,1.003,2.225,7.541,3.645,2,0.71
MS,C LM,CHURCHMAN BIBLE,3119.5,53.313,0.972,1.64,7.295,3.629,2,0.702
MS,C LM,CHURCHMAN BIBLE,3120.0,49.594,0.954,1.494,7.149,3.727,2,0.694
MS,C LM,CHURCHMAN BIBLE,3120.5,46.719,0.947,1.828,7.254,3.617,2,0.685
MS,C LM,CHURCHMAN BIBLE,3121.0,44.563,0.953,2.241,8.013,3.344,2,0.677
MS,C LM,CHURCHMAN BIBLE,3121.5,49.719,0.964,2.925,8.013,3.19,2,0.669
MS,C LM,CHURCHMAN BIBLE,3122.0,51.469,0.965,3.083,7.708,3.152,2,0.661
MS,C LM,CHURCHMAN BIBLE,3122.5,50.031,0.97,2.609,6.668,3.295,2,0.653
